,Trial-ID,Status,Iteration,batch_size,filtro1,filtro2,kernel1,kernel2,kernel3,kernel4,lr,neuroni1,neuroni2,stride1,stride3,Objective
101,51,COMPLETED,1,1024.0,24.0,42.0,1.0,1.0,1.0,1.0,0.020332388459049975,59.0,37.0,1.0,1.0,7.327826398115666e-05
102,52,INTERMEDIATE,1,2048.0,25.0,42.0,1.0,1.0,1.0,1.0,0.05,72.0,32.0,1.0,1.0,0.0002992982224254473
103,52,COMPLETED,1,2048.0,25.0,42.0,1.0,1.0,1.0,1.0,0.05,72.0,32.0,1.0,1.0,0.0002992982224254473
104,53,INTERMEDIATE,1,1024.0,10.0,22.0,1.0,1.0,1.0,1.0,0.05,59.0,21.0,1.0,1.0,0.03321125659331959
105,53,COMPLETED,1,1024.0,10.0,22.0,1.0,1.0,1.0,1.0,0.05,59.0,21.0,1.0,1.0,0.03321125659331959
106,54,INTERMEDIATE,1,256.0,31.0,38.0,1.0,1.0,1.0,1.0,0.0055807391561275115,24.0,89.0,1.0,1.0,1.2554250088189533e-05
107,54,COMPLETED,1,256.0,31.0,38.0,1.0,1.0,1.0,1.0,0.0055807391561275115,24.0,89.0,1.0,1.0,1.2554250088189533e-05
108,55,INTERMEDIATE,1,1024.0,22.0,39.0,1.0,1.0,1.0,1.0,0.04662739509395606,76.0,28.0,1.0,1.0,0.010074723048680415
109,55,COMPLETED,1,1024.0,22.0,39.0,1.0,1.0,1.0,1.0,0.04662739509395606,76.0,28.0,1.0,1.0,0.010074723048680415
110,56,INTERMEDIATE,1,256.0,27.0,22.0,1.0,1.0,1.0,1.0,0.01578617162986605,27.0,30.0,1.0,1.0,4.818839442745934e-05
111,56,COMPLETED,1,256.0,27.0,22.0,1.0,1.0,1.0,1.0,0.01578617162986605,27.0,30.0,1.0,1.0,4.818839442745934e-05
112,57,INTERMEDIATE,1,256.0,46.0,30.0,1.0,1.0,1.0,1.0,0.0003279688660804207,25.0,35.0,1.0,1.0,1.0508575585637092e-05
113,57,COMPLETED,1,256.0,46.0,30.0,1.0,1.0,1.0,1.0,0.0003279688660804207,25.0,35.0,1.0,1.0,1.0508575585637092e-05
114,58,INTERMEDIATE,1,1024.0,17.0,19.0,1.0,1.0,1.0,1.0,0.009865704522280463,69.0,20.0,1.0,1.0,0.00015449734436838615
115,58,COMPLETED,1,1024.0,17.0,19.0,1.0,1.0,1.0,1.0,0.009865704522280463,69.0,20.0,1.0,1.0,0.00015449734436838615
116,59,INTERMEDIATE,1,2048.0,27.0,41.0,1.0,1.0,1.0,1.0,0.04034821392799806,66.0,33.0,1.0,1.0,1.305830891621933e-05
117,59,COMPLETED,1,2048.0,27.0,41.0,1.0,1.0,1.0,1.0,0.04034821392799806,66.0,33.0,1.0,1.0,1.305830891621933e-05
118,60,INTERMEDIATE,1,1024.0,24.0,35.0,1.0,1.0,1.0,1.0,0.046215268472599894,86.0,27.0,1.0,1.0,0.03402962654341335
119,60,COMPLETED,1,1024.0,24.0,35.0,1.0,1.0,1.0,1.0,0.046215268472599894,86.0,27.0,1.0,1.0,0.03402962654341335
120,61,INTERMEDIATE,1,256.0,32.0,37.0,1.0,1.0,1.0,1.0,0.0024432449156735836,24.0,86.0,1.0,1.0,8.895115971824656e-06
121,61,COMPLETED,1,256.0,32.0,37.0,1.0,1.0,1.0,1.0,0.0024432449156735836,24.0,86.0,1.0,1.0,8.895115971824656e-06
122,62,INTERMEDIATE,1,256.0,43.0,30.0,1.0,1.0,1.0,1.0,0.0017593659160706433,27.0,32.0,1.0,1.0,2.3926254213303912e-05
123,62,COMPLETED,1,256.0,43.0,30.0,1.0,1.0,1.0,1.0,0.0017593659160706433,27.0,32.0,1.0,1.0,2.3926254213303912e-05
124,63,INTERMEDIATE,1,1024.0,25.0,35.0,1.0,1.0,1.0,1.0,0.013841488047023521,42.0,29.0,1.0,1.0,3.736332154452071e-05
125,63,COMPLETED,1,1024.0,25.0,35.0,1.0,1.0,1.0,1.0,0.013841488047023521,42.0,29.0,1.0,1.0,3.736332154452071e-05
126,64,INTERMEDIATE,1,2048.0,28.0,41.0,1.0,1.0,1.0,1.0,0.05,92.0,21.0,1.0,1.0,3.267198808629915e-05
127,64,COMPLETED,1,2048.0,28.0,41.0,1.0,1.0,1.0,1.0,0.05,92.0,21.0,1.0,1.0,3.267198808629915e-05
128,65,INTERMEDIATE,1,1024.0,22.0,39.0,1.0,1.0,1.0,1.0,0.022606334603083637,63.0,35.0,1.0,1.0,0.00039608841234582546
129,65,COMPLETED,1,1024.0,22.0,39.0,1.0,1.0,1.0,1.0,0.022606334603083637,63.0,35.0,1.0,1.0,0.00039608841234582546
130,66,INTERMEDIATE,1,256.0,28.0,27.0,1.0,1.0,1.0,1.0,0.01365405022452461,29.0,30.0,1.0,1.0,3.927877684601693e-05
131,66,COMPLETED,1,256.0,28.0,27.0,1.0,1.0,1.0,1.0,0.01365405022452461,29.0,30.0,1.0,1.0,3.927877684601693e-05
132,67,INTERMEDIATE,1,256.0,36.0,36.0,1.0,1.0,1.0,1.0,0.007111395248029338,24.0,92.0,1.0,1.0,2.102151716486252e-05
133,67,COMPLETED,1,256.0,36.0,36.0,1.0,1.0,1.0,1.0,0.007111395248029338,24.0,92.0,1.0,1.0,2.102151716486252e-05
134,68,INTERMEDIATE,1,256.0,30.0,21.0,1.0,1.0,1.0,1.0,0.017062318501910558,31.0,34.0,1.0,1.0,6.575382302766999e-05
135,68,COMPLETED,1,256.0,30.0,21.0,1.0,1.0,1.0,1.0,0.017062318501910558,31.0,34.0,1.0,1.0,6.575382302766999e-05
136,69,INTERMEDIATE,1,256.0,24.0,33.0,1.0,1.0,1.0,1.0,0.025675600944103757,30.0,25.0,1.0,1.0,8.056433869110249e-05
137,69,COMPLETED,1,256.0,24.0,33.0,1.0,1.0,1.0,1.0,0.025675600944103757,30.0,25.0,1.0,1.0,8.056433869110249e-05
138,70,INTERMEDIATE,1,256.0,20.0,33.0,1.0,1.0,1.0,1.0,0.025166468797094357,31.0,30.0,1.0,1.0,1.0971573990928342e-05
139,70,COMPLETED,1,256.0,20.0,33.0,1.0,1.0,1.0,1.0,0.025166468797094357,31.0,30.0,1.0,1.0,1.0971573990928342e-05
140,71,INTERMEDIATE,1,1024.0,23.0,35.0,1.0,1.0,1.0,1.0,0.05,79.0,23.0,1.0,1.0,0.03323560646733342
141,71,COMPLETED,1,1024.0,23.0,35.0,1.0,1.0,1.0,1.0,0.05,79.0,23.0,1.0,1.0,0.03323560646733342
142,72,INTERMEDIATE,1,256.0,29.0,24.0,1.0,1.0,1.0,1.0,0.012548333533165736,28.0,32.0,1.0,1.0,1.5329445678849188e-05
143,72,COMPLETED,1,256.0,29.0,24.0,1.0,1.0,1.0,1.0,0.012548333533165736,28.0,32.0,1.0,1.0,1.5329445678849188e-05
144,73,INTERMEDIATE,1,256.0,25.0,25.0,1.0,1.0,1.0,1.0,0.018127400157120305,28.0,30.0,1.0,1.0,1.3895556685786952e-05
145,73,COMPLETED,1,256.0,25.0,25.0,1.0,1.0,1.0,1.0,0.018127400157120305,28.0,30.0,1.0,1.0,1.3895556685786952e-05
146,74,INTERMEDIATE,1,256.0,34.0,38.0,1.0,1.0,1.0,1.0,0.010727043918276415,22.0,89.0,1.0,1.0,0.0001931245941119648
147,74,COMPLETED,1,256.0,34.0,38.0,1.0,1.0,1.0,1.0,0.010727043918276415,22.0,89.0,1.0,1.0,0.0001931245941119648
148,75,INTERMEDIATE,1,1024.0,23.0,37.0,1.0,1.0,1.0,1.0,0.05,81.0,28.0,1.0,1.0,6.607371363478705e-06
149,75,COMPLETED,1,1024.0,23.0,37.0,1.0,1.0,1.0,1.0,0.05,81.0,28.0,1.0,1.0,6.607371363478705e-06
150,76,INTERMEDIATE,1,256.0,24.0,30.0,1.0,1.0,1.0,1.0,0.019977859010698262,31.0,29.0,1.0,1.0,8.861370693361929e-06
151,76,COMPLETED,1,256.0,24.0,30.0,1.0,1.0,1.0,1.0,0.019977859010698262,31.0,29.0,1.0,1.0,8.861370693361929e-06
152,77,INTERMEDIATE,1,1024.0,22.0,33.0,1.0,1.0,1.0,1.0,0.026211350623529417,34.0,27.0,1.0,1.0,5.6599511375996024e-05
153,77,COMPLETED,1,1024.0,22.0,33.0,1.0,1.0,1.0,1.0,0.026211350623529417,34.0,27.0,1.0,1.0,5.6599511375996024e-05
154,78,INTERMEDIATE,1,1024.0,20.0,18.0,1.0,1.0,1.0,1.0,0.020859965772079672,66.0,22.0,1.0,1.0,2.0397553090104892e-05
155,78,COMPLETED,1,1024.0,20.0,18.0,1.0,1.0,1.0,1.0,0.020859965772079672,66.0,22.0,1.0,1.0,2.0397553090104892e-05
156,79,INTERMEDIATE,1,1024.0,19.0,21.0,1.0,1.0,1.0,1.0,0.03906315855565759,69.0,25.0,1.0,1.0,1.1443211244179322e-05
157,79,COMPLETED,1,1024.0,19.0,21.0,1.0,1.0,1.0,1.0,0.03906315855565759,69.0,25.0,1.0,1.0,1.1443211244179322e-05
158,80,INTERMEDIATE,1,256.0,22.0,38.0,1.0,1.0,1.0,1.0,0.031837600407672556,32.0,28.0,1.0,1.0,2.88358596963514e-05
159,80,COMPLETED,1,256.0,22.0,38.0,1.0,1.0,1.0,1.0,0.031837600407672556,32.0,28.0,1.0,1.0,2.88358596963514e-05
160,81,INTERMEDIATE,1,1024.0,19.0,36.0,1.0,1.0,1.0,1.0,0.037051229155670086,29.0,26.0,1.0,1.0,0.00016194151076790144
161,81,COMPLETED,1,1024.0,19.0,36.0,1.0,1.0,1.0,1.0,0.037051229155670086,29.0,26.0,1.0,1.0,0.00016194151076790144
162,82,INTERMEDIATE,1,1024.0,45.0,36.0,1.0,1.0,1.0,1.0,0.0002524366627241867,27.0,32.0,1.0,1.0,8.953606429930754e-06
163,82,COMPLETED,1,1024.0,45.0,36.0,1.0,1.0,1.0,1.0,0.0002524366627241867,27.0,32.0,1.0,1.0,8.953606429930754e-06
164,83,INTERMEDIATE,1,256.0,46.0,35.0,1.0,1.0,1.0,1.0,0.0014660959188772878,23.0,37.0,1.0,1.0,6.180256248779152e-06
165,83,COMPLETED,1,256.0,46.0,35.0,1.0,1.0,1.0,1.0,0.0014660959188772878,23.0,37.0,1.0,1.0,6.180256248779152e-06
166,84,INTERMEDIATE,1,256.0,33.0,33.0,1.0,1.0,1.0,1.0,0.004641051831568459,28.0,90.0,1.0,1.0,0.0001399749407855608
167,84,COMPLETED,1,256.0,33.0,33.0,1.0,1.0,1.0,1.0,0.004641051831568459,28.0,90.0,1.0,1.0,0.0001399749407855608
168,85,INTERMEDIATE,1,256.0,43.0,33.0,1.0,1.0,1.0,1.0,0.0038252972899743163,29.0,37.0,1.0,1.0,1.2927490731233105e-05
169,85,COMPLETED,1,256.0,43.0,33.0,1.0,1.0,1.0,1.0,0.0038252972899743163,29.0,37.0,1.0,1.0,1.2927490731233105e-05
170,86,INTERMEDIATE,1,1024.0,25.0,33.0,1.0,1.0,1.0,1.0,0.033157545554222144,26.0,30.0,1.0,1.0,5.068998117825174e-05
171,86,COMPLETED,1,1024.0,25.0,33.0,1.0,1.0,1.0,1.0,0.033157545554222144,26.0,30.0,1.0,1.0,5.068998117825174e-05
172,87,INTERMEDIATE,1,1024.0,36.0,30.0,1.0,1.0,1.0,1.0,0.01348857808992943,30.0,32.0,1.0,1.0,0.0008792806474992058
173,87,COMPLETED,1,1024.0,36.0,30.0,1.0,1.0,1.0,1.0,0.01348857808992943,30.0,32.0,1.0,1.0,0.0008792806474992058
174,88,INTERMEDIATE,1,1024.0,30.0,35.0,1.0,1.0,1.0,1.0,0.011769069565695157,29.0,27.0,1.0,1.0,1.1427469557673415e-05
175,88,COMPLETED,1,1024.0,30.0,35.0,1.0,1.0,1.0,1.0,0.011769069565695157,29.0,27.0,1.0,1.0,1.1427469557673415e-05
176,89,INTERMEDIATE,1,256.0,28.0,34.0,1.0,1.0,1.0,1.0,0.017691365808270736,34.0,34.0,1.0,1.0,1.7675303385689586e-05
177,89,COMPLETED,1,256.0,28.0,34.0,1.0,1.0,1.0,1.0,0.017691365808270736,34.0,34.0,1.0,1.0,1.7675303385689586e-05
178,90,INTERMEDIATE,1,512.0,22.0,41.0,1.0,1.0,1.0,1.0,0.04644391149897139,80.0,37.0,1.0,1.0,0.034039161720359624
179,90,COMPLETED,1,512.0,22.0,41.0,1.0,1.0,1.0,1.0,0.04644391149897139,80.0,37.0,1.0,1.0,0.034039161720359624
180,91,INTERMEDIATE,1,1024.0,26.0,35.0,2.0,1.0,1.0,1.0,0.01006280407231211,31.0,30.0,1.0,2.0,7.668139664861279e-06
181,91,COMPLETED,1,1024.0,26.0,35.0,2.0,1.0,1.0,1.0,0.01006280407231211,31.0,30.0,1.0,2.0,7.668139664861279e-06
182,92,INTERMEDIATE,1,1024.0,43.0,31.0,1.0,1.0,1.0,1.0,0.011691445068411698,24.0,39.0,1.0,1.0,2.1542273220477362e-05
183,92,COMPLETED,1,1024.0,43.0,31.0,1.0,1.0,1.0,1.0,0.011691445068411698,24.0,39.0,1.0,1.0,2.1542273220477362e-05
184,93,INTERMEDIATE,1,256.0,30.0,32.0,1.0,1.0,1.0,2.0,0.05,28.0,33.0,1.0,1.0,0.03376703465415985
185,93,COMPLETED,1,256.0,30.0,32.0,1.0,1.0,1.0,2.0,0.05,28.0,33.0,1.0,1.0,0.03376703465415985
186,94,INTERMEDIATE,1,256.0,25.0,35.0,1.0,1.0,1.0,1.0,0.0010882963000035679,35.0,32.0,1.0,1.0,6.2936329382233745e-06
187,94,COMPLETED,1,256.0,25.0,35.0,1.0,1.0,1.0,1.0,0.0010882963000035679,35.0,32.0,1.0,1.0,6.2936329382233745e-06
188,95,INTERMEDIATE,1,1024.0,23.0,35.0,1.0,1.0,1.0,1.0,5e-05,28.0,28.0,1.0,1.0,0.008957092429419269
189,95,COMPLETED,1,1024.0,23.0,35.0,1.0,1.0,1.0,1.0,5e-05,28.0,28.0,1.0,1.0,0.008957092429419269
190,96,INTERMEDIATE,1,1024.0,44.0,33.0,1.0,1.0,1.0,1.0,0.0006106269304283596,26.0,35.0,1.0,1.0,1.3110668329005698e-05
191,96,COMPLETED,1,1024.0,44.0,33.0,1.0,1.0,1.0,1.0,0.0006106269304283596,26.0,35.0,1.0,1.0,1.3110668329005698e-05
192,97,INTERMEDIATE,1,256.0,33.0,23.0,1.0,1.0,1.0,1.0,5e-05,26.0,34.0,1.0,1.0,1.5574289927441704e-05
193,97,COMPLETED,1,256.0,33.0,23.0,1.0,1.0,1.0,1.0,5e-05,26.0,34.0,1.0,1.0,1.5574289927441704e-05
194,98,INTERMEDIATE,1,1024.0,27.0,35.0,2.0,1.0,1.0,1.0,0.022423448712318543,33.0,26.0,1.0,2.0,8.185191295624014e-06
195,98,COMPLETED,1,1024.0,27.0,35.0,2.0,1.0,1.0,1.0,0.022423448712318543,33.0,26.0,1.0,2.0,8.185191295624014e-06
196,99,INTERMEDIATE,1,256.0,18.0,36.0,1.0,1.0,1.0,1.0,0.05,32.0,27.0,1.0,1.0,0.0005263463908933172
197,99,COMPLETED,1,256.0,18.0,36.0,1.0,1.0,1.0,1.0,0.05,32.0,27.0,1.0,1.0,0.0005263463908933172
198,100,INTERMEDIATE,1,1024.0,27.0,29.0,1.0,1.0,1.0,1.0,0.009379999228174998,29.0,26.0,1.0,1.0,3.25761938676045e-05
199,100,COMPLETED,1,1024.0,27.0,29.0,1.0,1.0,1.0,1.0,0.009379999228174998,29.0,26.0,1.0,1.0,3.25761938676045e-05
